0.70176,0.27204,0.11234
0.92017,0.92842,0.6054
0.75875,0.64136,0.21703
0.25421,0.37437,0.26882
0.6071,0.769,0.00232
0.63635,0.97296,0.96434
0.40924,0.06808,0.90494
0.34315,0.90376,0.98415
0.64781,0.95998,0.3081
0.49064,0.61586,0.62136
0.36789,0.28422,0.94188
0.79289,0.80289,0.79071
0.09861,0.15771,0.22999
0.39451,0.61994,0.11031
0.90025,0.2185,0.97568
0.42955,0.31369,0.32353
0.34167,0.16646,0.16493
0.91264,0.87121,0.22164
0.05915,0.66397,0.14233
0.4207,0.44611,0.08557
0.39874,0.79575,0.47129
0.12186,0.96916,0.11081
0.61308,0.59823,0.76425
0.65532,0.56049,0.64401
0.7636,0.69823,0.51882
0.12224,0.26925,0.03646
0.18163,0.55405,0.07371
0.10596,0.47114,0.2429
0.89656,0.30615,0.78492
0.64579,0.21152,0.05234
0.10825,0.91771,0.997
0.61745,0.2101,0.16531
0.68039,0.02324,0.16551
0.04762,0.67662,0.83067
0.04919,0.60559,0.7172
0.24231,0.97693,0.91897
0.79534,0.85411,0.16376
0.00074,0.74857,0.9469
0.29491,0.90136,0.25044
0.55229,0.57473,0.96343
0.15256,0.70739,0.71977
0.15984,0.4485,0.46633
0.65123,0.46505,0.18684
0.37654,0.90472,0.61288
0.24697,0.09735,0.81413
0.14541,0.92735,0.90521
0.13667,0.74771,0.93525
0.27793,0.81289,0.92721
0.31358,0.98917,0.27534
0.60169,0.01055,0.48853
0.81437,0.85329,0.28692
0.44164,0.57562,0.95236
0.16107,0.07285,0.52797
0.96363,0.50402,0.99625
0.5252,0.01633,0.94168
0.05216,0.42053,0.91441
0.69558,0.20066,0.96608
0.02802,0.83375,0.09489
0.68424,0.98093,0.8337
0.96664,0.53146,0.18317
0.3337,0.44185,0.13461
0.79106,0.24461,0.20465
0.48826,0.17915,0.037
0.28614,0.52576,0.88871
0.39968,0.39065,0.09719
0.28907,0.90608,0.52584
0.84111,0.35027,0.43944
0.66144,0.7531,0.93889
0.27969,0.26967,0.82875
0.5466,0.52939,0.13104
0.85206,0.07783,0.32566
0.48428,0.58995,0.16208
0.64533,0.24065,0.25398
0.15587,0.17093,0.66966
0.98309,0.96407,0.81127
0.79231,0.40648,0.54758
0.93838,0.57974,0.2567
0.88672,0.49479,0.85081
0.01676,0.30994,0.74965
0.95384,0.36798,0.51827
0.90908,0.97926,0.21246
0.8746,0.99711,0.64281
0.04515,0.73164,0.44493
0.99007,0.79167,0.12736
0.77137,0.67804,0.25272
0.27282,0.53829,0.28913
0.30161,0.94421,0.93908
0.9496,0.21474,0.62425
0.32479,0.49755,0.67367
0.25107,0.99853,0.18557
0.74368,0.4688,0.49868
0.98051,0.0872,0.33375
0.78352,0.85375,0.64968
0.44899,0.20586,0.47945
0.61541,0.77665,0.10052
0.39701,0.04819,0.75326
0.30366,0.42227,0.31542
0.55577,0.22191,0.2422
0.59664,0.15001,0.34125
0.18381,0.02292,0.34256
